"Article","Views"
"Gustav Zimmermann (Politiker, 1808)",532
"Matthias Peltzer",531
"Anja Pollmächer",530
"Richard Schuhmann",530
"Christlich Soziale Wähler Union",529
"Kategorie:Politiker (Nürnberg)",529
"Perwomartowzy",528
"Markus Berger (Politiker)",525
"Karl Gerhard Bornmann",524
"Italienische Liga für Menschenrechte",524
"Philipp Heinrich Hoen",524
"Hugo Collet",522
"Bewegung Demokratischer Patrioten",522
"Neues Beginnen (Zeitschrift)",522
"Jakob Herbrot",520
"Christoph Dietrich von Keller",519
"Hans Haunold",518
"Bruno Dörpinghaus",517
"Debora Niche",517
"Bruno Claußen (Staatssekretär)",516
"Kategorie:Rechtsextremismusforschung",516
"ʿUbūdīya",514
"Heinrich Hoffmann (Politiker)",513
"Helmut Fingerhut",513
"Günther von Passow",513
"Otto Heinrich von Callenberg",513
"Georg Dasch",512
"Blaverismus",511
"Konrad Carpzov",510
"Kategorie:Kahanismus",509
"Günter Obert",509
"Kategorie:Politiker (Essen)",509
"Sozialistische Politik (1954)",508
"Gesellschaft Schweiz-Palästina",508
"Katholischer Club",508
"Kategorie:Anarchistische Organisation",508
"Walter Grund",504
"Waldemar Bolze",504
"Sozialdemokratische Partei des Saargebietes",503
"Karl Passarge",502
"Karl Lützel",502
"Euzko Gaztedi",501
"Harms-Kommission",501
"Wolfgang Throll",501
"Ingeborg Lobocki",500
"Bundespolizeiaktennachweis",500
"Vereinigte Liberale",500
"Igram van Achelen",499
"Inspektion des Sanitäts- und Gesundheitswesens",499
"Fritz Carl Hatzky",499
"Union für Europa",499
"Laurenz Wilhelm Fischer",497
"Mabopane",497
"Carsten Schmidt (Geher)",497
"Ernst Christoph Helle",496
"Liberal South East European Network",496
"Georg Charlotte von Hinüber",495
"Waldemar Ossowski",495
"Johannes Schütze",495
"Reinhold Zumtobel",495
"Kategorie:Kampfgruppe gegen Unmenschlichkeit",494
"Johann Jakob Sell",494
"Kategorie:Mitglied einer kommunistischen Partei",494
"Kategorie:Person des Konservatismus",493
"Martin Woestmeyer",492
"Philippe Buchez",492
"Kategorie:Konservative Organisation",490
"Dettleff Schilde",488
"Franz Brinkschulte",487
"Funken (Zeitschrift)",487
"Kategorie:Ehemaliges südafrikanisches Homeland",487
"Ludwig Weber (Politiker)",486
"Erwin Noack (Jurist)",486
"Julius Wilhelm von Oppel",486
"Adolph Carl von Humbracht",486
"Albert Höft",485
"Helmut Adamzyk",484
"Eduard von Alvensleben",484
"Hasan al-Charrat",484
"Levin von Donop",482
"Freie Union in Niedersachsen",482
"Kategorie:Muslimbrüder",482
"Wirtschaftliche Vereinigung des Mittelstandes",481
"Nikolaus Tietjen",481
"Johann Paulsackel",480
"Wilhelm Paasche",479
"Ewald Gaul",478
"Folkelig",477
"Christian Joseph Matzerath",477
"Geschichte der Rus",476
"Arbeitsgemeinschaft Sozialistische Opposition",475
"Hasegawa Teru",474
"Youth Day (Südafrika)",474
"August Lammers (Politiker, 1898)",473
"Christlich-Nationale Arbeitsgemeinschaft",473
"Paula Ollendorff",472
"Johannes Jakobus Bouget",472
"Franz Hessenland",472
"Partei Freier Bürger",471
"Oskar Mulert",471
"Kategorie:Politiker (Aachen)",470
"Anthonius von Werthern",470
"Kategorie:Politiker (Düsseldorf)",470
"Johann Gottfried Ignaz von Wolfskeel",469
"Shareholder-Sozialismus",468
"Gleneagles-Vereinbarung",468
"Linkes Bündnis Dortmund",467
"Johann Friedrich Möller (Geistlicher, 1750)",467
"Kategorie:Paneuropaunion",467
"Die Unregierbaren – Autonome Liste",466
"Karl Konstantin von Fechenbach",466
"Kategorie:Anarchismus im Film",465
"Karl Ruge",464
"Joachim Kaintzik",463
"Gordon Wolf",463
"Vrye Weekblad",463
"Kategorie:Politiker (Augsburg)",462
"Kategorie:Österreichische Schule",460
"Kurt Frey (Verwaltungsjurist)",460
"Jakob Dörler",459
"Nico Bettge",458
"Kategorie:Politiker (Magdeburg)",458
"Landesverteidigungskreuz",458
"Halber Mond (Heppenheim)",457
"Ulla Berghammer",457
"Norbert Stretz",457
"Adolf Ludwig Hanckwitz",455
"Ludwig von Golther",455
"Singulari nos",454
"Kategorie:Verbraucherschutzminister (Deutschland)",449
"Hieronymus Roth (Politiker, 1606)",449
"Georg von Komerstadt",449
"Zweiter Koalitionsvertrag der 9. Wahlperiode des Bundestages",449
"Nationalisierungsgesetz vom 11. Juni 1948 in Rumänien",447
"Kategorie:Vorsitzender der FDP-Bundestagsfraktion",447
"Kategorie:Vorsitzender der SPD-Bundestagsfraktion",446
"Rüdiger Göb",446
"Kategorie:Libertäre Partei",446
"Julius Gebhard von Hoym",445
"Gunnar Simon",445
"Kyffhäusermythos",443
"Lady Selborne",443
"Erinnerungsmedaille an die Befreiung Oberungarns",440
"Marabastad",439
"Theodor Schwartz (Staatsrat)",439
"Carl von Hänlein",438
"Kategorie:Rat für gegenseitige Wirtschaftshilfe",438
"Internal Security Act",436
"Herbert Waldenberger",436
"Caspar von Schönberg (Politiker)",435
"Kategorie:Politiker (Bielefeld)",435
"Karl Jünemann (Politiker, 1881)",435
"Ulrike Zerhau",434
"Carl Broßmann",434
"Ludwig Friedrich Eichrodt",434
"South African Coloured People’s Organisation",433
"Kategorie:Abgeordneter (Deutsche Geschichte)",433
"Friedrich Ludwig Kühne",432
"Karl Friedrich Wilhelm von Erthal",432
"Fédération estudiantine et scolaire de Côte d’Ivoire",432
"Christlich Nationale Volkspartei",432
"Mihály Ibrányi",430
"Karl Leopold von Belderbusch",430
"Peter Enders (Politiker, 1942)",430
"Kategorie:Sozialistische Organisation",428
"Nassauische Fortschrittspartei",428
"National Enterprise Board",427
"Einsatzrat",427
"Fritz Drescher",427
"Woldemar Neubert",426
"Peter Ludwig Mohr",426
"Hans von Doltzig",426
"Heinrich Graeff",425
"Rudi Wascher",425
"Kategorie:Wissenschaftsminister (Deutschland)",425
"Martina Sacher",424
"Brussels Brecht-Eislerkoor",424
"Winfried Mante",424
"Paul Konitzer (Mediziner)",423
"Kategorie:Ministerpräsident (Deutschland)",423
"Richard Buchhorn",422
"Hartmut Vogel",422
"Kategorie:Politiker (Kiel)",421
"Gustav Bertog",421
"Adolf Ritter (Politiker)",420
"Roodeplaat Research Laboratories",420
"Alfred Gottschalk (Politiker)",420
"Kategorie:Energieminister (Deutschland)",419
"Johann Hermann Koch",419
"Gerhard Hildebrand",418
"Kategorie:Liberale Organisation",417
"Ludwig Adolph von Zech",417
"Morgen Freiheit",416
"Hartwig von Passow (Politiker)",415
"South African Congress of Democrats",415
"Canada First",414
"Eduard Schmidt (Politiker)",413
"Julius Claussen",413
"Anton Vollert",412
"Heidemarie Racké",410
"Albert Schlutow",409
"Kategorie:Bürgermeister (Landau in der Pfalz)",409
"The Guardian (Südafrika)",409
"Kategorie:Politiker (Mainz)",408
"Vereinigung von Hausbesitz und Landwirtschaft",408
"Kategorie:Vorsitzender der Bündnis-90/Die-Grünen-Bundestagsfraktion",408
"Nationales Jugendkomitee der IMRO",407
"Wilhelm Heinrich Meyer",407
"Hans Ehinger (Politiker)",407
"Transport Act 1985",406
"Negib Azoury",406
"Willy Wolfermann",406
"Johannes Birckholtz",406
"Alfred Engelhardt (Chemiker)",405
"Wilhelm Friedrich Ernst von Krosigk",405
"Automobile Steuerzahler-Partei",404
"Kategorie:Onlineplattform „Politically Incorrect“",403
"Karl Priefert",403
"Kategorie:Weiße Armee",402
"Rüstungsrat der Bundeswehr",402
"Walter Loch",401
"Wilhelm Hirschfeld",400
"Unionistische Demokratische Union",400
"Kategorie:Staatsrat (Bremen)",398
"Eduard Kern (Politiker)",397
"Paul Neue",397
"Delta G Scientific Company",396
"Johann Nicolaus Olenschlager (1751–1820)",396
"Haymarket Books",396
"Eugen Edmund Erbe",394
"Kategorie:Politiker (Wuppertal)",393
"Dothias Wiarda",392
"Jakob Friedrich Duttenhofer",392
"Hans Lutwitzi",389
"Kategorie:Liste (Mitglieder eines deutschen Landesparlaments)",389
"Wilhelm von Braun (Politiker)",389
"Kategorie:Mitglied des Rechtsausschusses (Deutscher Bundestag)",388
"Albert von Ploetz",388
"Kategorie:Laizistische Partei",388
"Arthur von Witzleben",388
"Jugenddrehscheibe-Preis",387
"Bantu Investment Corporation",387
"Friedl Baruch",386
"Soziale Freiheitspartei",385
"Herbert Frister",385
"Kategorie:Postminister (Deutschland)",385
"Wolfgang Zündelin",385
"Rainer Schanne",384
"Campo Antiimperialista",383
"Cäsar Thierfelder",382
"Manfred Gawlik",382
"Kategorie:Landtagsabgeordneter (Bundesrepublik Deutschland)",380
"Johann Friedrich VII. von Alvensleben",379
"Ungkyrkorörelsen",377
"Rudolf von Bünau (Politiker)",377
"Willy Eberling",377
"Karl Walter Müller",377
"Rudolf Leichtweiß",376
"Georg Roth (Politiker, 1887)",376
"Kategorie:Bundestagsabgeordneter (Freie Hansestadt Bremen)",375
"Kategorie:Genossenschaftswesen (Sozialismus)",375
"Wilhelm Selkmann",375
"Kategorie:Gesundheitsminister (Deutschland)",372
"Theodor Brünings",370
"Die Wellen auf dem Hong-Hu-See",369
"Kategorie:Privatisierung",368
"Kategorie:Politiker (Bochum)",368
"Kategorie:Politiker (Sachsen-Anhalt)",367
"Zentralstelle für Kommunikationstechnologien",365
"Heinz Putzrath",364
"Friedrich Dowedeit",362
"Kategorie:Rätekommunismus",361
"Kategorie:Staatssekretär (Weimarer Republik)",361
"Reinhold Bost",358
"Republikanische Blätter",357
"Eugen Imbs",357
"Kategorie:Kommunismus in Schweden",356
"Kategorie:Kanzler (Deutsche Geschichte)",356
"Kategorie:Bundesgeschäftsführer der FDP",354
"Rudolf Rafoth",353
"University of Natal Medical School",352
"Deutsche Demokratische Partei des Saargebietes",352
"Voix ouvrière (Zeitung)",351
"Versammlung der Steuer- und Wirthschaftsreformer",351
"Fortschrittspartei (Württemberg)",351
"Kategorie:Politiker (Freiburg im Breisgau)",350
"Kategorie:DKP-Funktionär",349
"Oskar Simon (Politiker)",349
"Kategorie:Organisation (Rechtspopulismus)",349
"Paul Rosenthal",348
"Hans Moser (Politiker, 1900)",348
"Kategorie:Zonenbeirat (Britische Zone)",347
"Thai-Nationalismus",347
"Kategorie:Politiker (Ludwigshafen am Rhein)",346
"Beauftragter der Bundesregierung für die Nachrichtendienste",346
"Kai-Uwe Bielefeld",345
"Kategorie:Informationsmedium zum Rechtsextremismus",345
"Neue Statt Partei",345
"New Nation (Südafrika)",345
"Heinrich Krumbhaar",344
"Partei der Volkseinheit",343
"Kategorie:Sozialistischer Realismus",343
"Marcel de Roover",343
"Deregulierungskommission",342
"Johann Georg Trendelenburg",341
"Serbische Nationale Jugend",341
"Louis Bührer",340
"Günter Walpuski",340
"Kategorie:Arbeitsminister (Deutschland)",339
"Kategorie:Wirtschaftspolitiker (DDR)",339
"Kategorie:Faschismusforschung",338
"Ingo Wachtel",338
"Jürgen Kroh",338
"National Party of South West Africa",338
"Kategorie:Bürgermeister (Zweibrücken)",338
"Parliamentary Internal Security Commission Act",337
"Cuno Eichler",337
"Hitlerismus",337
"Fritz Traskowski",336
"Diepkloof",336
"Malte Ristau-Winkler",334
"Kategorie:Vertragstheorie",334
"Richard Dippold",333
"Kleine Bibliothek der Russischen Korrespondenz",329
"Johann Ernst Greverus",329
"Ron Gostick",329
"Kategorie:Mitglied einer sozialdemokratischen Partei",329
"Deutscher Block",327
"Levente-Ehrenabzeichen",327
"Kategorie:Ordoliberalismus",326
"South African Bureau of Racial Affairs",325
"Kategorie:Landrat (Deutschland)",325
"Unabhängige Wähler-Vereinigung der Stadt Weilheim",325
"Die Braut von Lapua",322
"Unfallverhütungsbericht Straßenverkehr",322
"Willy Lange (Parteifunktionär)",322
"Kategorie:Ratsherr (Hamburg)",321
"Kategorie:Nationalistische Organisation",319
"Johann Heinrich Stamler",318
"Kategorie:Politiker (Lübeck)",317
"Racó Català",315
"Kategorie:Person (Bund der Kommunisten)",314
"United Nations Special Committee for South West Africa",313
"Kategorie:Ritter-Schule",310
"Hugo Erdmann Müller",308
"Compoundsystem",308
"Karl Müller (Politiker, 1878)",308
"Georg Gruel",307
"Michael Kürtel",307
"Freie Tribüne (Wien)",304
"Frente de Liberación Popular",300
"Kategorie:Politiker (Duisburg)",300
"No-Do",299
"Kategorie:Mitglied einer liberalen Partei",299
"Western Area Township",295
"Millerandismus",295
"Johannes Humann",294
"Kategorie:Politiker (Kassel)",290
"Arthur Sämisch",289
"Kategorie:Politiker (Mannheim)",288
"Ludwig Philipp Keidel",287
"Kategorie:Politiker (Solingen)",287
"Kategorie:Mitglied des Haushaltsausschusses (Deutscher Bundestag)",287
"Kategorie:Religiöser Sozialismus",287
"Kategorie:Portal:Rechtsextremismus",286
"Alwin Reinke",286
"Lenasia",284
"Max Schmidt (Politiker, 1873)",283
"Kategorie:Geschichte der Sozialdemokratie",282
"Liste linkssozialistischer Zeitungen und Zeitschriften in Westdeutschland",280
"Kategorie:Konsumgenossenschaftswesen",279
"Kategorie:Arabische Liga",279
"Ludwig Schleifer",275
"Kategorie:Politiker (Sachsen-Weimar-Eisenach)",275
"Kategorie:Politiker (Mülheim an der Ruhr)",274
"Kategorie:Politiker (Leipzig)",274
"Kategorie:Staatsminister beim Bundeskanzler",273
"Kategorie:Politiker (Chemnitz)",273
"Kategorie:Mitglied einer sozialistischen Partei",272
"Kategorie:Sozialdemokratische Organisation",272
"Kategorie:Tea-Party-Bewegung",271
"Hermann Vollert",270
"Heribert Zitzelsberger",268
"Karl Müller (Politiker, 1873)",267
"Internationale Gesellschaft für sozialistische Studien",267
"Sozialkonservatismus",264
"Juventud Revolucionaria del Ecuador",263
"Ferdinand Hauers senior",262
"Kategorie:Umweltminister (Deutschland)",259
"Kategorie:Monetarismus",259
"Kategorie:Politiker (Münster)",259
"Ingrid Schneider (Politikerin)",258
"Southern Partisan",258
"Kategorie:Frauenminister (Deutschland)",256
"Karl Müller (Politiker, August 1869)",255
"Kategorie:Politiker (Düren)",255
"Kategorie:Nationalismus nach Nation",253
"Kategorie:Politiker (Heilbronn)",252
"Gulf Railway",252
"Twelve Disciples of Nelson Mandela",251
"Kategorie:Kommunalpolitiker (Deutschland) nach Bundesland",249
"Jongilizwe College",249
"Ernst Kiel",247
"Kategorie:Politiker (Trier)",244
"Kategorie:Musik der Arbeiterbewegung",243
"Kategorie:Frühsozialismus",243
"Meadowlands (Südafrika)",242
"Kategorie:Politiker (Rostock)",240
"Kategorie:Rechtsextremes Netzwerk",240
"Kategorie:Linkssozialist",239
"Kategorie:Rechtsextreme Organisation als Thema",239
"Kategorie:Forschungsminister (Deutschland)",239
"Kategorie:Mitglied des Ausschusses für Wirtschaft und Energie",238
"Kategorie:Person (Apartheid)",238
"Sozialer Konservatismus",235
"Kategorie:Politiker (Regensburg)",235
"Kategorie:Politiker (Karlsruhe)",232
"Kategorie:Frontenbewegung",231
"Kategorie:Familienminister (Deutschland)",230
"Kategorie:Minister für Bundesangelegenheiten",229
"Kategorie:Politiker (Erlangen)",225
"Kategorie:Mitglied einer christdemokratischen Partei",225
"Kategorie:Politiker (Aschaffenburg)",224
"Kategorie:Pionierbewegung",224
"Kategorie:Komintern",222
"Kategorie:Vizekanzler (Weimarer Republik)",220
"Kategorie:Person (Sozialismus)",219
"Kategorie:Nationalistische Partei als Thema",216
"Kategorie:Reichsminister (Provisorische Zentralgewalt)",213
"Kategorie:Politiker (Gelsenkirchen)",213
"Dube (Südafrika)",213
"Kategorie:Reichskommissar 1848/1849",212
"Sobukwe-Klausel",211
"Kategorie:Stellvertretender Bürgermeister (Deutschland)",211
"Kategorie:Minister für besondere Aufgaben (Deutschland)",211
"Peter Juling",211
"Kategorie:Politiker (Herne)",210
"Wikipedia:Löschkandidaten/7. November 2017",210
"Kategorie:Ratsherr (Bremen)",208
"Kategorie:Politiker (Wiesbaden)",206
"Kategorie:Landtagspräsident (Deutschland)",206
"Kategorie:Politiker (Bamberg)",204
"Kategorie:Politiker (Würzburg)",204
"Kategorie:Politiker (Rhein-Sieg-Kreis)",204
"Kategorie:Politiker (Hof, Saale)",203
"Kategorie:Kommunikationsminister (Deutschland)",202
"Kategorie:Nelkenrevolution",200
"Kategorie:Politiker (Neuwied)",199
"Kategorie:Staatssekretär (Preußen)",199
"Kategorie:Politiker (Koblenz)",198
"Kategorie:ICOR-Mitglied",198
"Kategorie:Mitglied des Ausschusses für Arbeit und Soziales (Deutscher Bundestag)",198
"Kategorie:Politiker (Gießen)",197
"Kategorie:Sprecher der Grünen Jugend",197
"Kategorie:Politiker (Bremerhaven)",196
"Kategorie:Bayerischer Staatsrat",196
"Kategorie:Humanistische Partei",195
"Katholische Volkspartei (Baden)",195
"Kategorie:Kommunistische Partei als Thema",194
"Kategorie:Kommunalpolitiker (Deutschland) nach Gemeinde",192
"Kategorie:Bürgermeister (Pirmasens)",192
"Kategorie:Minister (Deutsche Geschichte)",191
"Rechtsextremismus-Datei-Gesetz",190
"Johann Winkler (Politiker, 1817)",190
"Kategorie:Panarabische Spiele",189
"Kategorie:Vizekanzler (Deutsches Kaiserreich)",188
"Kategorie:Politiker (Hildesheim)",188
"Kartoffelboykott",187
"Kategorie:Politiker eines ehemaligen deutschen Landes",187
"Kategorie:Mitglied einer grünen Partei",184
"Kategorie:Politiker (Darmstadt)",182
"Kategorie:Europäische Volkspartei",181
"Kategorie:Politiker (Kaiserslautern)",181
"Kategorie:Politiker (Oberhausen)",180
"Nationales Waffenregister",179
"Kategorie:Politiker (Krefeld)",179
"Kategorie:Politiker (Marburg)",177
"Kategorie:Politiker (Hamm)",177
"Kategorie:Allianz der Konservativen und Reformer in Europa",177
"Kategorie:Ratsherr (Lübeck)",176
"Kategorie:Ernährungsminister (Deutschland)",175
"Kategorie:Politiker (Remscheid)",175
"Kategorie:Rechtsextremismus in Österreich",174
"Ernst von Holleben (Jurist)",174
"Kategorie:Kommunalpolitiker (Deutschland) nach Landkreis",174
"Kategorie:Abgeordneter (Marburg)",174
"Antiterrordateigesetz",173
"Kategorie:Politiker (Tübingen)",173
"Kategorie:Politiker (Göttingen)",173
"Labour Party (Südafrika)",171
"Kategorie:Mitglied des Parteivorstands der KPD",171
"Georg Anders",170
"Kategorie:Politiker (Greifswald)",170
"Kategorie:Politiker (Castrop-Rauxel)",169
"Kategorie:Politiker (Pforzheim)",169
"Kategorie:Politiker (Kreis Recklinghausen)",168
"Kategorie:Politiker (Görlitz)",168
"Kategorie:Politiker (Mönchengladbach)",168
"Kategorie:Politiker (Passau)",168
"Kategorie:Parteivorsitzender (Deutschland) nach Bundesland",167
"Berliner Extra-Blatt",166
"Kategorie:Sozialistische Zeitschrift",165
"Kategorie:Politiker (Brandenburg an der Havel)",163
"Kategorie:Politiker (Alsdorf)",162
"Kategorie:Politiker (Würselen)",162
"Kategorie:Forstminister (Deutschland)",159
"Kategorie:Politiker (Witten)",159
"Kategorie:Politiker (Hagen)",158
"Kategorie:Politiker (Kempten (Allgäu))",157
"Kategorie:Politiker (Ulm)",157
"Kategorie:Politiker (Schwerin)",157
"Kategorie:Beigeordneter (Deutschland)",156
"Kategorie:Politiker (Weiden in der Oberpfalz)",156
"Kategorie:Politiker (Kreis Herford)",155
"Kategorie:Politiker (Speyer)",154
"Kategorie:Ehemaliges südwestafrikanisches Homeland",153
"Kategorie:Bundesvorsitzender der Jungen Nationaldemokraten",152
"Kategorie:Politiker (Landkreis Nürnberger Land)",151
"Kategorie:Politiker (Kreis Siegen-Wittgenstein)",150
"Kategorie:Politiker (Potsdam)",149
"Kategorie:Mitglied des Agrarausschusses (Landtag M-V)",149
"Kategorie:Politiker (Leverkusen)",147
"Kategorie:Politiker (Lüneburg)",146
"Kategorie:Laizistische Organisation",146
"Kategorie:Politiker (Flensburg)",146
"Kategorie:Politiker (Landkreis Lüchow-Dannenberg)",145
"Kategorie:Mitglied des Energieausschusses (Landtag M-V)",144
"Kategorie:Politiker (Zwickau)",144
"Kategorie:Politiker (Ingolstadt)",143
"Kategorie:Liberale Partei als Thema",143
"Neokonservatismus in Japan",142
"Kategorie:Politiker (Kreis Minden-Lübbecke)",141
"Kategorie:Politiker (Städteregion Aachen)",140
"Kategorie:Politiker (Wolfsburg)",139
"Kategorie:Politiker (Peine)",139
"Kategorie:Person der Sozialdemokratie",138
"Kategorie:Politiker (Weimar)",137
"Kategorie:Sozialistische Partei als Thema",137
"Kategorie:Parteizeitung (Sozialdemokratie)",136
"Kategorie:Politiker (Eschweiler)",135
"Kategorie:Konservative Partei als Thema",135
"Kategorie:Politiker (Offenbach am Main)",135
"Kategorie:Stadtbaurat (Breslau)",133
"Kategorie:Politiker (Rhein-Kreis Neuss)",132
"Kategorie:Vertriebenenminister (Deutschland)",132
"Kategorie:Politiker (Recklinghausen)",131
"Kategorie:Politiker (Bayreuth)",129
"Kategorie:Politiker (Celle)",129
"Kategorie:Politiker (Bocholt)",128
"Kategorie:Politiker (Freiberg)",126
"Kategorie:Politiker (Bensheim)",124
"Kategorie:Vorsitzender der DP-Bundestagsfraktion",124
"Kategorie:Pionierorganisation",123
"Kategorie:Politiker (Oldenburg (Oldb))",123
"Kategorie:Opfer des Faschismus (Spanien)",122
"Dobsonville",120
"Kategorie:Politiker (Cottbus)",120
"Kategorie:Sozialdemokratische Partei als Thema",120
"Kategorie:Politiker (Gütersloh)",120
"Kategorie:Schatzminister (Deutschland)",120
"Kategorie:Politiker (Rheinisch-Bergischer Kreis)",119
"Kategorie:Politiker (Ravensburg)",118
"Kategorie:Politiker (Werra-Meißner-Kreis)",118
"Ausschuss für Inneres und Heimat (Deutscher Bundestag)",117
"Kategorie:Politiker (Baden-Baden)",117
"Kategorie:Politiker (Neumünster)",117
"Kategorie:Politiker (Bottrop)",117
"Kategorie:Politiker (Radebeul)",116
"Kategorie:Jugendminister (Deutschland)",116
"Kategorie:Politiker (Schwabach)",114
"Kategorie:Politiker (Fürth)",113
"Sozialistische Betriebskorrespondenz",113
"Kategorie:Politiker (Worms)",112
"Kategorie:Politiker (Pulheim)",112
"Kategorie:Person (Bund der Gerechten)",112
"Kategorie:Politiker (Paderborn)",111
"Kategorie:Gothaer Nachparlament",111
"Kategorie:Politiker (Kreis Unna)",111
"OdF-Gedenkstätte (Radebeul)",111
"Kategorie:Politiker (Arnsberg)",111
"Kategorie:Politiker (Meiningen)",110
"Kategorie:Politiker (Kreis Lippe)",110
"Kategorie:Politiker (Frankenthal (Pfalz))",110
"Kategorie:Staatssekretär (Baden)",110
"Kategorie:Politiker (Soest)",110
"Kategorie:Politiker (Detmold)",109
"Kategorie:Politiker (Bergisch Gladbach)",109
"Wahlalternative Soziales Berlin",109
"Kategorie:Politiker (Herford)",109
"Kategorie:Mitglied des Finanzausschusses (Landtag M-V)",107
"Kategorie:Kommunalpolitiker eines ehemaligen deutschen Landes",107
"Kategorie:Politiker (Minden)",106
"Kategorie:Politpunk",106
"Kategorie:Politiker (Frechen)",105
"Kategorie:Politiker (Pirna)",104
"Kategorie:Politiker (Kreis Pinneberg)",103
"Kategorie:Politiker (Stolberg (Rheinland))",101
"Kategorie:Mitglied des Europa- und Rechtsausschusses (Landtag M-V)",100
"Kategorie:Politiker (Kreis Herzogtum Lauenburg)",100
"Kategorie:Politiker (Stade)",100
"Kategorie:Politiker (Kreis Borken)",100
"Kategorie:Politiker (Siegburg)",99
"Kategorie:Politiker (Kreis Düren)",99
"Kategorie:Politiker (Rhein-Neckar-Kreis)",99
"Kategorie:Politiker (Bergheim)",98
"Kategorie:Politiker (Meißen)",97
"Kategorie:Politiker (Neustadt an der Weinstraße)",96
"Kategorie:Politiker (Eisenach)",96
"Kategorie:Politiker (Landkreis Meißen)",96
"Kategorie:Politiker (Heidenheim an der Brenz)",95
"Restauration der Staatswissenschaft",95
"Kategorie:Politiker (Warendorf)",94
"Kategorie:Politiker (Ebersberg)",94
"Kategorie:Politiker (Kreis Gütersloh)",94
"Kategorie:Politiker (Landkreis Weißenburg-Gunzenhausen)",94
"Kategorie:Politiker (Villingen-Schwenningen)",94
"Kategorie:Politiker (Landkreis Zwickau)",94
"Kategorie:Politiker (Meschede)",94
"Kategorie:Politiker (Kreis Olpe)",93
"Kategorie:Politiker (Kreis Wesel)",93
"Kategorie:Politiker (Kreis Paderborn)",93
"Kategorie:Politiker (Herzogenrath)",93
"Kategorie:Politiker (Kreis Kleve)",92
"Kategorie:Politiker (Bodenseekreis)",92
"Kategorie:Politiker (Rhein-Erft-Kreis)",92
"Kategorie:Politiker (Landkreis Marburg-Biedenkopf)",91
"Kategorie:Politiker (Dormagen)",90
"Kategorie:Politiker (Schwäbisch Gmünd)",90
"Kategorie:Staatsrat (Lübeck)",90
"Kategorie:Liberalismus in Litauen",90
"Kategorie:Politiker (Schleswig)",89
"Kategorie:Politiker (Finsterwalde)",89
"Kategorie:Politiker (Schorndorf)",89
"Kategorie:Politiker (Helmstedt)",89
"Kategorie:Politiker (Landkreis Lüneburg)",89
"Kategorie:Politiker (Landkreis Ravensburg)",89
"Kategorie:Politiker (Oberbergischer Kreis)",89
"Kategorie:Politiker (Apolda)",89
"Kategorie:Politiker (Forchheim)",88
"Kategorie:Politiker (Landkreis Lörrach)",88
"Kategorie:Politiker (Landkreis Ammerland)",87
"Kategorie:Politiker (Gladbeck)",87
"Kategorie:Politiker (Landkreis Bad Dürkheim)",87
"Kategorie:Politiker (Brühl, Rheinland)",87
"Kategorie:Politiker (Ratingen)",86
"Kategorie:Politiker (Bedburg)",86
"Kategorie:Politiker (Kreis Stormarn)",86
"Kategorie:Politiker (Gevelsberg)",86
"Kategorie:Politiker (Mittweida)",86
"Kategorie:Politiker (Waiblingen)",86
"Kategorie:Politiker (Rastatt)",86
"Kategorie:Politiker (Landkreis Bayreuth)",85
"Kategorie:Politiker (Landkreis Sächsische Schweiz-Osterzgebirge)",85
"Kategorie:Politiker (Landkreis Rosenheim)",84
"Kategorie:Politiker (Willich)",84
"Kategorie:Politiker (Friedberg (Hessen))",84
"Kategorie:Politiker (Landkreis Berchtesgadener Land)",84
"Kategorie:Politiker (Kreis Viersen)",84
"Kategorie:Politiker (Landkreis Heidekreis)",83
"Kategorie:Politiker (Erftstadt)",83
"Kategorie:Politiker (Marl)",83
"Kategorie:Politiker (Landkreis Karlsruhe)",83
"Kategorie:Mitglied des Wirtschaftsausschusses (Landtag M-V)",82
"Kategorie:Politiker (Schwarzwald-Baar-Kreis)",82
"Kategorie:Politiker (Kreis Höxter)",82
"Kategorie:Politiker (Kreis Mettmann)",81
"Kategorie:Politiker (Kreis Dithmarschen)",81
"Kategorie:Politiker (Kreis Warendorf)",81
"Kategorie:Politiker (Ennepe-Ruhr-Kreis)",80
"Kategorie:Politiker (Hürth)",80
"Kategorie:Politiker (Lünen)",80
"Kategorie:Politiker (Landkreis Mittelsachsen)",80
"Kategorie:Politiker (Hochsauerlandkreis)",80
"Kategorie:Politiker (Otterndorf)",79
"Kategorie:Politiker (Monschau)",79
"Kategorie:Politiker (Lüdenscheid)",79
"Kategorie:Politiker (Landkreis Ebersberg)",79
"Kategorie:Politiker (Neubrandenburg)",79
"Wikipedia:WikiProjekt Kategorien/Diskussionen/2017/November/7",78
"Kategorie:Politiker (Landkreis Haßberge)",78
"International Society for Socialist Studies",77
"Kategorie:Politiker (Landkreis Görlitz)",77
"Kategorie:Politiker (Landkreis Mecklenburgische Seenplatte)",77
"Kategorie:Politiker (Roth)",76
"Kategorie:Politiker (Landkreis Forchheim)",76
"Kategorie:Politiker (Weißenburg in Bayern)",76
"Kategorie:Politiker (Landkreis Harburg)",76
"Kategorie:Politiker (Soltau)",76
"Kategorie:Politiker (Landkreis Aschaffenburg)",75
"Kategorie:Politiker (Landkreis Emmendingen)",75
"Kategorie:Politiker (Wermelskirchen)",75
"Kategorie:Politiker (Herdecke)",75
